feature_set,features,feature_count,horizon,window_start,window_end,nobs,country_n,year_min,year_max,regressor_count,rank,full_rank,condition_number,columns,missing_countries,output_interaction_wald_h8,output_interaction_df,output_interaction_p_h8,output_interaction_rank,support_sample_n,support_p_h8,mahalanobis_h8,max_abs_feature_corr_h8,max_abs_profile_z_2025,status_y_h8,denom_t_y_h8,profile_ratio_p_y_h8,incremental_y_h8,K_Y_h8,status_g_h8,denom_t_g_h8,profile_ratio_p_g_h8,incremental_g_h8,K_G_h8,rank_pass,condition_pass,feature_correlation_pass,support_pass,profile_z_pass,denominator_pass,output_interaction_pass,all_diagnostic_gates_pass,diagnostic_status,selection_reason,paper_path_status
trade+liq,trade|liq,2,8,2004,2017,378,27,2004,2017,10,10,True,27.0939913671797,shock_G_I|shock_G_C|trade_z_lag1|liq_z_lag1|shock_G_I_x_trade|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,14.334226665375317,2,0.0007715467184191,10,378,0.9112592327321398,0.1858557275372105,0.1482415442731879,0.5755551475575922,OK,47.13249202892806,1.3531333009630941e-07,0.3556493909278033,1.8346807701247292,OK,47.13249202892806,0.107907233271894,0.0618261412646551,0.7293231893050262,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,sensitivity_diagnostic_pass
trade,trade,1,8,2004,2017,378,27,2004,2017,8,8,True,26.921438632763216,shock_G_I|shock_G_C|trade_z_lag1|shock_G_I_x_trade|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,9.55142819437391,1,0.0019979390386957,8,378,0.956246245168036,0.0030101366354092,0.0,0.1611300263293323,OK,35.27257292971015,0.0002456787316724,0.3146672181758371,1.7978399426675131,OK,35.27257292971015,0.0677814400683782,0.0719687578320303,0.726559047560126,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,main_response_path
liq,liq,1,8,2004,2017,378,27,2004,2017,8,8,True,18.433149501910037,shock_G_I|shock_G_C|liq_z_lag1|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,8.682748675022607,1,0.0032123614176739,8,378,0.6783273220708312,0.1720148473062858,0.0,0.5755551475575922,OK,66.44246416124012,0.0003236603208907,0.3014118337022739,2.235753747310901,OK,66.44246416124012,0.1882668664073197,0.0518684879714659,0.7671883315182209,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,main_response_path
trade+debt+liq,trade|debt|liq,3,8,2004,2017,378,27,2004,2017,12,12,True,29.823564437415964,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|liq_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,8.758763473859457,3,0.0326763010811232,12,378,0.9723536990956152,0.231482616085061,0.4341857483303197,0.5755551475575922,OK,115.66347200626343,8.778996773317616e-06,0.3256712976465341,1.184214409247155,OK,115.66347200626343,0.0812815461227083,0.0511473723551822,0.6840044349530185,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,sensitivity_diagnostic_pass
trade+debt,trade|debt,2,8,2004,2017,378,27,2004,2017,10,10,True,29.364574723907864,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,6.445017987276349,2,0.0398549369280806,10,378,0.998353411287846,0.0032958916585891,0.24484793213661,0.1611300263293323,OK,82.42641891959192,0.0009656633654804,0.3049791123157723,1.1414067593727162,OK,82.42641891959192,0.0464180958480833,0.0552450199480285,0.6811918002191828,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,sensitivity_diagnostic_pass
trade+liq+log_gdp_pc,trade|liq|log_gdp_pc,3,8,2004,2017,378,27,2004,2017,12,12,True,27.848572112909245,shock_G_I|shock_G_C|trade_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,7.085439078662914,3,0.0692238261922658,12,378,0.910413918839706,0.5382377746676575,0.5059009838499503,0.5755551475575922,OK,23.037412317445863,0.0210223157898064,0.2779930442727625,0.5652784287223208,OK,23.037412317445863,0.01953042609682,0.1311569041730692,0.6949573945334977,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,sensitivity_diagnostic_pass
debt,debt,1,8,2004,2017,378,27,2004,2017,8,8,True,25.974819518746465,shock_G_I|shock_G_C|debt_z_lag1|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,3.073500280024994,1,0.0795779584069628,8,378,0.9762080081774523,0.0008894268400695,0.0,0.0814657387382097,OK,98.1482832372468,0.1534088481808422,0.1971599224646352,1.7813435168502745,OK,98.1482832372468,0.0466680014744693,0.063377967025245,0.7526616391748677,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,main_response_path
trade+log_gdp_pc,trade|log_gdp_pc,2,8,2004,2017,378,27,2004,2017,10,10,True,27.63254668861284,shock_G_I|shock_G_C|trade_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,5.056478893941582,2,0.0797993877412842,10,378,0.9564796545833864,0.0889915220395131,0.0167384668991031,0.1611300263293323,OK,19.68542901937121,0.1285503889470414,0.1998746175821248,0.6418723846749156,OK,19.68542901937121,0.018655022723272,0.1447339814156995,0.6904762921419344,True,True,True,True,True,True,True,True,diagnostic_pass,all_diagnostic_gates_pass,sensitivity_diagnostic_pass
debt+liq,debt|liq,2,8,2004,2017,378,27,2004,2017,10,10,True,26.67300410178743,shock_G_I|shock_G_C|debt_z_lag1|liq_z_lag1|shock_G_I_x_debt|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,4.327536512759998,2,0.1148913641817273,10,378,0.8930130085399594,0.2263082619554841,0.4341857483303197,0.5755551475575922,OK,121.03393656595034,0.0096454287400418,0.2591989131297761,1.808652021470804,OK,121.03393656595034,0.0858664409035443,0.0538406557333146,0.7434379170769627,True,True,True,True,True,True,False,False,diagnostic_fail,output_interaction,diagnostic_fail
trade+debt+log_gdp_pc,trade|debt|log_gdp_pc,3,8,2004,2017,378,27,2004,2017,12,12,True,31.36384043718787,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,5.710494236224388,3,0.1265769808553245,12,378,0.9930762962009396,0.0894183585961,0.24484793213661,0.1611300263293323,OK,32.39866688520998,0.0129126479822894,0.2982844201050425,0.3264013654807776,OK,32.39866688520998,0.001392323556931,0.1223855660771801,0.6995435317862801,True,True,True,True,True,True,False,False,diagnostic_fail,output_interaction,diagnostic_fail
